direction,result,R,is_flip
SELL,TP,5,False
SELL,SL,-1,False
BUY,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
SELL,SL,-1,False
BUY,TP,5,True
BUY,SL,-1,False
SELL,BE,0,True
BUY,SL,-1,False
SELL,TP,5,True
SELL,TP,5,False
SELL,SL,-1,False
BUY,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
SELL,TP,5,False
SELL,TP,5,False
SELL,SL,-1,False
BUY,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
SELL,TP,5,False
SELL,SL,-1,False
BUY,TP,5,True
SELL,SL,-1,False
BUY,TP,5,True
SELL,SL,-1,False
BUY,TP,5,True
SELL,SL,-1,False
BUY,TP,5,False
BUY,TP,5,False
BUY,SL,-1,False
SELL,BE,0,True
BUY,TP,5,False
SELL,SL,-1,False
BUY,TP,5,False
SELL,SL,-1,False
SELL,SL,-1,False
BUY,TP,5,True
SELL,SL,-1,False
BUY,TP,5,True
SELL,SL,-1,False
BUY,TP,5,True
SELL,SL,-1,False
BUY,TP,5,True
SELL,SL,-1,False
BUY,TP,5,True
BUY,TP,5,False
BUY,TP,5,False
SELL,SL,-1,False
BUY,TP,5,True
SELL,SL,-1,False
BUY,TP,5,True
BUY,TP,5,False
BUY,TP,5,False
BUY,TP,5,False
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,SL,-1,True
SELL,SL,-1,False
BUY,TP,5,True
SELL,SL,-1,False
SELL,SL,-1,False
SELL,SL,-1,False
BUY,TP,5,True
SELL,SL,-1,False
BUY,TP,5,True
BUY,TP,5,False
BUY,TP,5,False
SELL,SL,-1,False
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
SELL,TP,5,False
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
SELL,TP,5,False
SELL,TP,5,False
SELL,TP,5,False
SELL,SL,-1,False
BUY,SL,-1,True
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
SELL,TP,5,False
SELL,TP,5,False
SELL,TP,5,False
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
BUY,SL,-1,False
SELL,TP,5,True
SELL,TP,5,False
SELL,TP,5,False
SELL,TP,5,False
SELL,TP,5,False
BUY,SL,-1,False
SELL,TP,5,True
SELL,TP,5,False
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
SELL,TP,5,False
SELL,TP,5,False
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,False
BUY,SL,-1,False
SELL,TP,5,True
SELL,TP,5,False
SELL,TP,5,False
SELL,TP,5,False
SELL,TP,5,False
SELL,TP,5,False
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
BUY,SL,-1,False
SELL,TP,5,True
SELL,TP,5,False
SELL,TP,5,False
SELL,TP,5,False
SELL,TP,5,False
SELL,TP,5,False
SELL,TP,5,False
SELL,SL,-1,False
BUY,TP,5,True
SELL,SL,-1,False
BUY,TP,5,True
SELL,SL,-1,False
BUY,TP,5,True
SELL,SL,-1,False
BUY,TP,5,True
SELL,SL,-1,False
BUY,TP,5,True
SELL,SL,-1,False
BUY,TP,5,True
BUY,TP,5,False
BUY,TP,5,False
BUY,TP,5,False
BUY,TP,5,False
SELL,SL,-1,False
SELL,SL,-1,False
SELL,SL,-1,False
SELL,SL,-1,False
BUY,TP,5,True
SELL,SL,-1,False
BUY,TP,5,True
BUY,TP,5,False
SELL,SL,-1,False
BUY,TP,5,True
BUY,TP,5,False
BUY,TP,5,False
BUY,TP,5,False
BUY,TP,5,False
